MsgID.STATE,1518699055.2088041,False,False
MsgID.GLOBAL_HOME,1518699055.2093029,-121.9939422,37.4137382,0.0000000
MsgID.GLOBAL_POSITION,1518699055.2098024,-121.9939428,37.4137348,-0.0670000
MsgID.LOCAL_VELOCITY,1518699055.2098024,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1518699055.2105820,-0.3726323,-0.0526870,0.0677767
MsgID.LOCAL_VELOCITY,1518699055.2105820,0.0000000,0.0000000,-0.0000000
MsgID.LOCAL_POSITION,1518699055.2108011,-0.2987281,0.0747282,0.0476328
MsgID.LOCAL_VELOCITY,1518699055.2108011,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1518699055.2113099,-121.9939414,37.4137355,-0.0470000
MsgID.LOCAL_VELOCITY,1518699055.2113099,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,1518699055.2113099,-121.9939416,37.4137373,-0.0290000
MsgID.LOCAL_VELOCITY,1518699055.2113099,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1518699055.2118742,-0.0963079,0.0575608,0.0298926
MsgID.LOCAL_VELOCITY,1518699055.2118742,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1518699055.2123013,-121.9939414,37.4137367,-0.0120000
MsgID.LOCAL_VELOCITY,1518699055.2123013,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1518699055.2123013,-0.1629621,0.0757526,0.0124007
MsgID.LOCAL_VELOCITY,1518699055.2123013,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1518699055.2133017,False,False
MsgID.GLOBAL_HOME,1518699055.2138026,-121.9939422,37.4137382,0.0000000
MsgID.LOCAL_POSITION,1518699055.2138026,-0.2126972,-0.0490652,0.0007465
MsgID.LOCAL_VELOCITY,1518699055.2138026,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1518699055.2143009,-121.9939428,37.4137363,0.0000000
MsgID.LOCAL_VELOCITY,1518699055.2143009,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,1518699055.2148011,-121.9939411,37.4137363,0.0080000
MsgID.LOCAL_VELOCITY,1518699055.2148011,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1518699055.2150364,-0.2127231,0.0949482,-0.0082912
MsgID.LOCAL_VELOCITY,1518699055.2150364,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1518699055.2153020,-121.9939411,37.4137363,0.0130000
MsgID.LOCAL_VELOCITY,1518699055.2153020,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1518699055.2158022,-0.2097804,0.1000911,-0.0135383
MsgID.LOCAL_VELOCITY,1518699055.2158022,0.0000000,0.0000000,-0.0000000
MsgID.LOCAL_POSITION,1518699055.2158022,-0.1353717,0.0829134,-0.0184041
MsgID.LOCAL_VELOCITY,1518699055.2158022,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1518699055.2163012,-121.9939413,37.4137370,0.0180000
MsgID.LOCAL_VELOCITY,1518699055.2163012,0.0000000,0.0000000,0.0000000
MsgID.STATE,1518699055.3823056,False,False
MsgID.GLOBAL_HOME,1518699055.3838069,-121.9939422,37.4137382,0.0000000
MsgID.LOCAL_POSITION,1518699055.3863037,-0.0391739,0.0732587,-0.0256204
